weight	classification	source	location	subject	claim
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/infrastructure/postgres_execution_ledger.py:97	MemoryLedgerState	Durable execution ledger backed by PostgreSQL.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/infrastructure/postgres_model_proxy_grants.py:44	MemoryModelProxyGrantStore	Durable model-proxy grant store backed by PostgreSQL.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/lease_token.py:1	Store.update_work_item_if_leased	The claim-time lease token, and the only fenced way to write a claimed row.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/lease_token.py:118	_record_failure	Write a claimed row, fenced on the claim-time token.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/pump.py:573	handle_claimed_item	Durably record a cooperative cancel ([2026] VJS-COUNTY 6, D1/D4).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/pump_progress.py:1	run_once	Windowed throughput evidence for the work pump.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/reflection.py:38	kernel.invoke	Distil one lesson and store it via the memory verb, best-effort (US-WFL-07).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/result.py:86	degrade	The bounded degrade tag this result carries, or None.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/retention.py:1	run_retention_once	Retention purge: hard-erasure of closed conversations (M11, right-to-erasure).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/runtime.py:1	build_runtime	The pluggable agent-runtime abstraction (P4, US-FLT-04).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/runtime.py:407	UnavailableRuntime	Select the runtime implementation for a capability (P4, US-FLT-04, US-RUN-01).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/spawn.py:295	_publish_subagent_end_event	Retire the bearer this child inherited, at the child's run terminal.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/spawn.py:322	_publish_subagent_event	Settle a delegated child on the parent relay (G3, SDK-CONTRACT §5).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/spawn.py:397	resolve_run_scoped_credential	Carry a run-scoped adapter bearer from the spawning run to its child.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/stack_tool_health.py:212	browser_automation_wanted	Probe only tools that execute in the fleet worker container.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/stack_tool_status.py:200	cached_snapshot	``cached_snapshot`` returns only an already-reported scoped snapshot.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/ultracode_memory.py:73	identity.rbac.memory_owner_scopes	Memory RBAC owner scopes derivable at this layer: the principal + org.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/fleet/workers.py:1	register_workers	The Hatchet integration seam (P6, US-EXE-02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/ai_keys.py:1	load_ai_key_material	Per-org / workspace / user AI-key resolution ([2026] VJS-COUNTY 8, D5).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/ai_keys.py:132	get_credential_ref	Load the SEALED key material for a resolution, kernel-side, at call time.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/ai_keys.py:31	provider	The outcome of AI-key resolution - metadata only, never secret material.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/ai_keys.py:68	workspace_id	Resolve a text or vision AI key, precedence user -> workspace -> org -> default.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/auth.py:1	dev_principal_resolver	Token verification and the principal resolver (US-IAM-01, SEC-01/02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/auth.py:176	verify	SAML assertion verification seam (US-IAM-01).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/auth.py:236	Principal	Build a production ``PrincipalResolver`` from a verifier (US-IAM-01/02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/mailersend_password_reset.py:1	MailerSendPasswordResetNotifier	``MailerSendPasswordResetNotifier`` provides bounded MailerSend delivery.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/passwords.py:1	verify_dummy	First-party password hashing ([2026] VJS-COUNTY 7, D4).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/passwords.py:65	verify_dummy	Whether ``password`` matches the stored argon2 ``encoded`` hash (D4/D5).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/provisioning.py:115	grants_for_scope	A role that implies authority must not arrive with a scope that grants none.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/provisioning.py:150	ensure_user_record	Provision (or refresh) a user on authenticated login (US-USR-01/02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/provisioning.py:36	current_grants_for_user	The caller's EFFECTIVE grants for one request ([2026] VJS-COUNTY 8, D11).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/rbac.py:1	GrantSet	IdP-group -> platform-role + visibility-scope mapping (US-IAM-02, SEC-07).
LOAD-BEARING	SUBJECT-REACHED	comment	boltrig/identity/rbac.py:128	provisioning._coherent_scope	Read by ``provisioning._coherent_scope`` when a scope was NEVER STATED.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/rbac.py:149	provisioning._coherent_scope	Look ``role`` up in ``ORG_ROLE_DEFAULT_SCOPE``; ``None`` when it has no entry.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/rbac.py:241	GrantSet.intersect	Narrow ``base`` (the caller's org/user grants) by a workspace role's ceiling ([2026] VJS-COUNTY 8, D11; composes with COUNTY 5 - intersect DOWN, never widen).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/rbac.py:93	GrantSet	Turn a visibility scope into a verb ``GrantSet`` ceiling (US-IAM-02/04).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/sessions.py:1	build_session_resolver	First-party browser sessions + the session principal resolver ([2026] VJS-COUNTY 7).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/sessions.py:237	UserSession	Resolve a session cookie secret to a live :class:`UserSession`, else None.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/sessions.py:85	store.add_session	Build a fresh :class:`UserSession` plus its ``(secret, csrf_token)``.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/tenancy.py:1	create_org	Default-organisation backfill ([2026] VJS-COUNTY 8, D1).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/tokens.py:50	resolve_pat_principal	Mint a PAT and return ``(record, secret)``; the secret is shown ONCE.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/tokens.py:86	Principal	Resolve a PAT secret to a ``Principal``, or ``None`` if it is not usable.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/identity/totp.py:1	verify_totp	First-party TOTP two-factor + one-time recovery codes ([2026] VJS-COUNTY 10).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/app.py:1	Principal	The kernel HTTP surface (FastAPI) - a thin transport over the engine.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/audit.py:1	detail	Append-only, tamper-evident audit (SEC-16/17, K-19/K-20).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/audit.py:203	store.security_scan	Re-derive a tamper-evidence hash chain for a tenant from seq 1 upward.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/channel_notify.py:1	notify_work_item_result	Channel notification delivery (decision 0003, Phase 2; SEC-179).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/channel_principal.py:51	resolve_pat_principal	Resolve a VERIFIED channel sender to a Principal via its binding row, or ``None`` if the sender is unbound (the caller applies ``unpaired_behavior``).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/channel_routes.py:312	RateLimited	Opt-in self-serve onboarding for a customer-facing channel (SEC-180).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/cost.py:1	_rate_pair	Cost accounting and budget enforcement (US-COST-01/02, FR-COST-02/03/04).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/cost.py:330	reserve	Post-run cost true-up across every reserved scope (FR-COST-03, audit M14).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/credentials.py:1	resolve_run_scoped_params	Credential resolution (P3, US-KER-03, SEC-04/05, K-20).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/credentials.py:121	unbind_adapter_credential	Use ``unbind_adapter_credential`` to drop exactly the owned binding.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/credentials.py:171	owner_matches	Seal a secure question's answer as a run+purpose-scoped credential and return the REFERENCE string the run carries in its place.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/credentials.py:236	CredentialResolution	Return a copy of ``params`` with every run-scoped credential REFERENCE string replaced by its material (SEC-181).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/credentials.py:266	_execute_adapter	Seal a caller-supplied external bearer for ONE adapter for the life of ONE run (the permission-parity passthrough).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/credentials.py:303	Credential	Resolve a per-run adapter bearer to a ``Credential`` for this adapter, or ``None`` when none is sealed (so dispatch falls back to the adapter's static credential - the fail-safe that keeps dev/non-passthrough tenants unc
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/dev_egress_runtime.py:1	diversion_block	Resolving the dev-egress loopback at runtime: the one place that reads the environment, so ``boltrig.config.dev_egress`` stays a pure decision.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/dispatch.py:1	Dispatcher.invoke	The dispatch chokepoint (P2, US-KER-01, K-1).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/dispatch.py:281	_emit_pause	Publish to THIS run and to the run that delegated to it.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/grants.py:1	GrantSet.permits	Grant enforcement (P8, SEC-07, US-IAM-04, K-2).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/grants.py:15	GrantMissing	Raise ``GrantMissing`` unless the verb is authorised.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/held_call.py:1	approval_gate._approval_display_context	The HELD CALL record: what a paused write is resumed FROM (decision 0018).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/held_call.py:281	sweep_run_scoped	Retire a finished run's sealed credentials, unless a held write still needs them.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/hitl.py:1	dispatch	Human-in-the-loop management (Epic K).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/hitl_expiry.py:92	transition_work_item_status	Settle the expired request's AWAITING_HUMAN work item at CANCELLED.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/hitl_http.py:138	SecurityWriter	THE RECORD THE POSTURE DOES NOT REMOVE: a ``SecurityWriter`` row.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/hitl_http.py:96	_approval_display_context	Is this exempted approval the one that ends the exemption? ([2026] VJS-CC-BOLTRIG-OPERATOR-SEAT-001, D4.) The sole-author exemption exists because a one-author tenant cannot satisfy four-eyes.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/hitl_response_auth.py:142	authorize_approval_response	ONE definition of who may lawfully answer an APPROVAL request.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/hitl_response_auth.py:301	approval_response_block	Require an independent, assigned human with the live action grant.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/mcp.py:1	initialize	The kernel's MCP server face (Round Two, Epic MCP).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/mcp_errors.py:1	_call_tool	Turning a kernel exception into the MCP result envelope a model actually reads.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/org_discovery_routes.py:18	list_orgs_for_email	List session switch candidates only from ``list_orgs_for_email`` for the caller identity.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/questions.py:1	apply_manifest	The governed "ask the user a question" built-in verb (US-CHAT-12).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/run_event_projection.py:1	_summarise_params	Where ``_summarise_params``, ``_summarise_output`` and ``_event_safe`` live.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/schema_diagnosis.py:1	contains_secret	What may be recorded about a schema-validation failure, and how it is read back.
LOAD-BEARING	SUBJECT-REACHED	comment	boltrig/kernel/schema_diagnosis.py:137	audit_detail	append-only ledger, and ``audit_detail`` is what implements it.
LOAD-BEARING	SUBJECT-REACHED	comment	boltrig/kernel/schema_diagnosis.py:65	write	Bounds on what ``write`` may store.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/security_events.py:1	detail	The distinct SecurityEvent stream + the audit rollup anchor ([2026] VJS-COUNTY 9).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/security_events.py:67	AuditWriter	Scrub, chain, and append a security signal.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/sensing_capability.py:1	Principal	The honest refusal: what a character is told when it asks to see.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/sensing_policy.py:1	parse_approval_posture	Camera and presence as first-class Boltrig services, governed in one place.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/sensing_routes.py:190	sensing_capability	What a caller asking for this capability right now is told.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/tool_disclosure.py:1	_ranking_key	Progressive tool disclosure: the ordered OFFER, computed away from authority.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/tool_disclosure.py:126	permits	Rank the granted verbs and return the first ``budget`` of them.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/kernel/tool_disclosure.py:58	normalize_identifier	The lowercase segment set of the run's loaded skill ids.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/__init__.py:1	PgVectorMemoryEngine	Round Five memory subsystem (Epic MEM).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/adapter.py:1	MemoryEngine	The MemoryAdapter: memory.* verbs behind the kernel chokepoint, and the kernel-side isolation boundary (Epic MEM, SEC-40..45).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/cognee.py:1	MemoryEngine	Cognee Memory Engine (MEM-ENG-03): the ADOPTED production graph engine.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/engine.py:1	LocalMemoryEngine	The engine-agnostic Memory Engine interface (MEM-ENG-02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/local.py:1	InMemoryStore	A minimal in-process Memory Engine reference for dev / offline (P9).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/pgvector.py:1	VectorMemoryEngine	The Postgres + pgvector production Memory Engine (MEM-ENG-02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/session_distillation.py:1	list_idle_conversations	Distil a conversation into memory once it has gone quiet (`ingest.on_session_end`).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/session_distillation.py:246	select_conversations_to_distil	Call ``select_conversations_to_distil`` then ``distil_conversation`` on a slow loop, never crashing the worker (P9).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/memory/vector.py:1	PgVectorMemoryEngine	The native vector Memory Engine reference (MEM-ENG-02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/access.py:1	UserInvitation	Round Four access models: personal access tokens, invitations, settings, sessions (S R4 Ch.4).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/access.py:127	credential_refs	A user's TOTP second-factor enrolment state, kept in its OWN table apart from the identity row (like the password credential).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/audit.py:95	AuditEvent	A distinct, tamper-evident (hash-chained) security-signal row ([2026] VJS-COUNTY 9, D3).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/context.py:1	tenant_id	The invocation context that travels with every kernel call (S7.1).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/conversation.py:66	ChatConfig	A DERIVED, append-only compaction record over a conversation's older turns.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/errors.py:22	kernel.dispatch._validate	Verb params (or output) did not match the registered JSON Schema (SEC-21).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/grants.py:1	ticket.create	The grant primitive - least-privilege authority over verbs (P8, SEC-07).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/tenancy.py:105	tenant_id	A per-workspace membership (D3).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/tenancy.py:123	resolve_ai_key	A per-org / workspace / user AI-key configuration row ([2026] VJS-COUNTY 8 D5).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/models/tenancy.py:43	tenant_id	An organisation - the tenant boundary (D1).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/skills/loader.py:1	select_locale	Load the skill library from disk and resolve inheritance (US-SKL-01/02/03).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/skills/shelf.py:1	skill.describe	The SkillShelfAdapter: an on-demand skill library behind the chokepoint.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/base.py:1	InMemoryStore	The Store protocol - the kernel's only persistence seam.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/capabilities.py:1	select_capability	Agent-capability persistence + scoped-declarative reconciliation.
LOAD-BEARING	SUBJECT-REACHED	comment	boltrig/store/capabilities.py:60	list_all_capabilities	``list_all_capabilities`` is the admin/audit read, never the routing read.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/channel_outbox.py:1	ChannelOutboxStorePG	Channel outbox store domain (decision 0003, Phase 2).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/control_plane_reads.py:1	boltrig.kernel.hitl_expiry.run_hitl_expiry_sweep	Cross-tenant control-plane reads, deliberately outside the RLS fence.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/distillation_reads.py:40	list_idle_conversations	How many idle threads still await distillation, measured INDEPENDENTLY of the selection query.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/postgres.py:213	app.tenant_id	Yield a connection bound to one tenant for RLS.
LOAD-BEARING	SUBJECT-REACHED	comment	boltrig/store/realtime_calls.py:173	append_realtime_call_event	A cross-tenant call id cannot receive an event from ``append_realtime_call_event``
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/rls_pool.py:1	bind_tenant_on_store_methods	The RLS fence machinery: the GUC/role binding and the pool facade that applies it.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/sealing.py:1	refuse_default_audit_key_in_prod	At-rest envelope sealing for credential references (SEC-04, K-20).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/tenant_scope.py:38	_apply_guc	Set ``_current_tenant`` from this call's own argument, so ``_apply_guc`` cannot read a tenant different from the one being queried.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/store/tenant_scope.py:96	_RlsPool	Make ``conn`` subject to the tenant policies for ``tenant_id``, for real.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/generator.py:179	generate_workflow	Synthesise a workflow, optionally via a reasoning runtime (US-WFL-02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/generator.py:49	workspace_id	Build a deterministic linear workflow for ``task`` (US-WFL-02).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/generator.py:99	workspace_id	Re-save a succeeded workflow as reusable, ``source='learned'`` (US-WFL-03).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/interpreter.py:1	run_workflow_body	The generic workflow interpreter (Round Seven, control-plane gap 3).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/library.py:106	select_or_generate_workflow	Best workflow by intent-tag overlap (US-WFL-01).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/library.py:22	workspace_id	Workspace visibility rule ([2026] VJS-COUNTY 8, D2).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/library.py:89	workspace_id	Return the workflow with ``id`` for ``tenant``, or ``None``.
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/signals.py:1	harvest_reuse_signal	Harvest free feedback into reuse WEIGHTING, never into authority (COUNTY 5).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/signals.py:42	memory.improve	Reweight memory from a free signal via ``memory.improve`` (reweight-only).
LOAD-BEARING	SUBJECT-REACHED	docstring	boltrig/workflows/step_execution.py:48	resume	How a resumed paused step should proceed: ``resume`` | ``rejected`` | ``timed_out``.
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/base.py:107		Declarative mapping from governed verbs to MCP resources.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/browser_cli.py:106		is never echoed into a Result (it could carry secrets or UI
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/browser_cli.py:229		The shared egress guard (INJ-02/SEC-61): refuses unspecified /
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/channel_send.py:164		context, never delivered (stripped before the seam)
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/channel_send.py:188		never ride the outbox row or the webhook body to the sender.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/channel_send.py:42		at the composition root so this adapter never reads the environment and a test
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/channel_send.py:88		SSRF (H2/SEC-61): pin the connection to the vetted IP so httpx cannot
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/channel_send.py:97		sidecar, never stored here (decision 0003, conditions 2 + 7).
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/desktop.py:105		changes host state: never serve a focus from a replay cache (a
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/desktop.py:203		module never imports the kernel transport (severability, decision 0014).
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/desktop.py:40		so a waiting dispatch always resolves before its command can be swept.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/desktop.py:44		must be positive (a zero/negative rectangle is never a real window);
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/familiar.py:108		cosmetic + transient: never persist/replay a gesture
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/familiar.py:39		keeps the express channel content-free and lets the binding reject anything the body cannot perform.
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/builtin/fish_audio.py:324		One POST whose body/response the base's JSON ``request()`` cannot carry (raw audio bytes back from TTS, multipart upload to ASR).
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/fish_audio.py:76		Bounds (DoS/cost bounding, fail-closed).
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/fish_audio.py:78		verb unbounded - an agent must not be able to stream unbounded text or audio
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/builtin/herdr.py:1		Herdr terminal workspace control as governed Boltrig verbs.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/herdr.py:107		Fixed message: child stderr is never echoed into a Result (it
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/inbound_webhook.py:107		delivery we cannot name.
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/builtin/inbound_webhook.py:58		A webhook payload was structurally invalid and cannot become a work item.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/inbound_webhook.py:90		check alone cannot stop a second ingest.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/jira.py:63		returns a fresh list over them so a caller can never mutate the shared table.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/local_whisper.py:67		Same bounds as the remote STT adapters so switching provider cannot change how
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/pocket_voice.py:107		Left None on purpose.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/pocket_voice.py:68		Bounds, fail-closed, matching the vendor siblings.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/runpod.py:187		URL-quoted: a pod id with '/', '?' or '..' must not rewrite the path.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/web_fetch.py:151		A blocked target is refused before any network call (fail-closed).
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/web_fetch.py:154		Agent-supplied max_bytes can only shrink the cap, never lift it.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/web_fetch.py:168		Redirects are NOT followed: a public URL must not redirect into internal
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/web_fetch.py:183		IP from the single resolution above so httpx cannot re-resolve to
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/web_fetch.py:69		operator-supplied bundle fails closed instead of silently falling back
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/web_fetch.py:70		to public roots.
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/builtin/xai_voice.py:266		One POST whose body/response the base's JSON ``request()`` cannot carry (raw audio bytes back from TTS, multipart upload to STT).
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/xai_voice.py:58		Bounds (DoS/cost bounding, fail-closed): the xAI TTS endpoint caps input at
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/builtin/xai_voice.py:60		chars) so an agent cannot stream unbounded payloads through the verb.
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/egress.py:143		Resolve a host to its addresses (an IP literal resolves to itself, no DNS).
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/egress.py:64		True if an address is a link-local / cloud-metadata address (169.254.0.0/16 incl.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/generator.py:304		string must not silently double as a file read.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/generator.py:325		pinned to the audited IP, and redirects are never followed into internal
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/http_base.py:165		of the base host so httpx cannot re-resolve to internal space at connect
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/http_base.py:180		SSRF: never auto-follow redirects - a 302 to 169.254.169.254 would
ORDINARY	NO-SUBJECT	docstring	boltrig/adapters/loader.py:81		The cached posture, refreshed in the background when stale.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:121		wins outright (an unrecognised value clamps low, fail-closed).
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:125		Otherwise take the HIGHEST of the remaining signals, never the first.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:130		an authority over it: it may RAISE a consequence and must never lower one.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:174		never leave a stale mapping.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:303		server never sees the namespace.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:343		Fail closed (defence in depth behind execute's own check, and the
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:353		reviewed registration opt-in) is the ONLY waiver, for an
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:68		an empty name can never publish.
ORDINARY	NO-SUBJECT	comment	boltrig/adapters/mcp_transport.py:149		retry the call once.
